game_id,drive_id,offense,defense,drive_number,start_field_position,plays,yards,points,result,turnover,touchdown,field_goal,punt,success_rate,ppa,explosiveness
401551732,4015517326,Fresno State,New Mexico State,6,28.0,5,6.0,0,PUNT,0,0,0,1,0.2,-0.37301191857097454,0.2228795957604275
401551732,4015517327,New Mexico State,Fresno State,7,20.0,4,1.0,0,TO,1,0,0,0,0.0,-0.305892785772438,0.9
401551732,4015517328,New Mexico State,Fresno State,8,67.0,4,50.0,3,FG,0,0,1,0,0.0,-0.479272647703406,0.9
401551732,4015517329,New Mexico State,Fresno State,9,35.0,10,96.0,7,TD,0,1,0,0,0.5,0.8927430219802988,1.4771362617141985
401551733,4015517331,Ohio,Georgia Southern,1,35.0,5,29.0,0,TO,1,0,0,0,0.2,-0.1534855510987243,1.2141403190573685
401551733,40155173310,Ohio,Georgia Southern,10,67.0,8,51.0,3,FG,0,0,1,0,0.25,0.0751043533539904,0.6560637032449188
401551733,40155173311,Georgia Southern,Ohio,11,35.0,6,22.0,0,PUNT,0,0,0,1,0.3333333333333333,0.06191215151218336,0.25686537006992793
401551733,40155173312,Georgia Southern,Ohio,12,35.0,2,46.0,0,TO,1,0,0,0,0.5,-0.8786414946543326,0.3983464844048346
401551733,40155173313,Ohio,Georgia Southern,13,94.0,1,6.0,7,TD,0,1,0,0,1.0,2.052489771065277,2.052489771065277
401551733,40155173314,Ohio,Georgia Southern,14,35.0,11,90.0,7,TD,0,1,0,0,0.45454545454545453,0.6110744444228655,1.5889984377035191
401551733,40155173315,Georgia Southern,Ohio,15,35.0,5,25.0,0,PUNT,0,0,0,1,0.0,-0.4029293292047515,0.9
401551733,40155173316,Georgia Southern,Ohio,16,50.0,3,50.0,0,TO,1,0,0,0,0.3333333333333333,-1.0528626892928756,0.938337158619385
401551733,40155173317,Ohio,Georgia Southern,17,40.0,8,60.0,7,TD,0,1,0,0,0.625,1.037170413509728,1.3663981193413441
401551733,40155173318,Ohio,Georgia Southern,18,35.0,3,85.0,7,TD,0,1,0,0,0.3333333333333333,2.7596553578209297,5.897703839590669
401551733,40155173319,Georgia Southern,Ohio,19,35.0,9,52.0,7,TD,0,1,0,0,0.5555555555555556,0.5725791841014901,1.3750942015352856
401551733,4015517332,Ohio,Georgia Southern,2,48.0,12,70.0,3,FG,0,0,1,0,0.5,0.06068954911774149,0.7452014854907295
401551733,40155173320,Georgia Southern,Ohio,20,35.0,6,33.0,0,PUNT,0,0,0,1,0.16666666666666666,0.019686873824330542,2.6648727622113
401551733,40155173321,Georgia Southern,Ohio,21,9.0,8,46.0,0,OTHER,0,0,0,0,0.625,-0.022226755496890238,0.8191972609643379
401551733,40155173322,Ohio,Georgia Southern,22,45.0,10,55.0,7,TD,0,1,0,0,0.5,0.45650400805055696,1.3747172898555224
401551733,40155173323,Ohio,Georgia Southern,23,35.0,12,95.0,0,OTHER,0,0,0,0,0.4166666666666667,-0.05117017507071493,1.2560538366398455
401551733,40155173324,Ohio,Georgia Southern,24,15.0,4,0.0,0,OTHER,0,0,0,0,0.0,-0.3190465170054684,0.9
401551733,4015517333,Ohio,Georgia Southern,3,35.0,5,-1.0,0,PUNT,0,0,0,1,0.2,-0.40968571642638185,0.4833825674180429
