game_id,offense,defense,drives,points,avg_start,td,fg,to,punt,success_rate,ppa,explosiveness,td_rate,fg_rate,to_rate,punt_rate,ppd,opp_drives,opp_ppd,opp_avg_start,opp_td_rate,opp_fg_rate,opp_to_rate,opp_punt_rate,opp_success_rate,opp_ppa,opp_explosiveness
401520145,Jacksonville State,UTEP,13,17,32.38461538461539,2,1,1,5,0.2635319808396731,-0.05653863284642287,0.9959607782078208,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.38461538461538464,1.3076923076923077,9.0,1.8888888888888888,23.555555555555557,0.2222222222222222,0.0,0.1111111111111111,0.4444444444444444,0.2838744588744589,-0.026125026103468854,1.0625783853449682
401520145,UTEP,Jacksonville State,9,17,23.555555555555557,2,0,1,4,0.2838744588744589,-0.026125026103468854,1.0625783853449682,0.2222222222222222,0.0,0.1111111111111111,0.4444444444444444,1.8888888888888888,13.0,1.3076923076923077,32.38461538461539,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.2635319808396731,-0.05653863284642287,0.9959607782078208
401520146,Florida International,Louisiana Tech,11,10,31.363636363636363,1,1,2,6,0.21060606060606057,-0.20141376938707925,0.9237847341647858,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.9090909090909091,14.0,2.5714285714285716,34.714285714285715,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.34978354978354975,0.45284840016015154,1.5751112191100105
401520146,Louisiana Tech,Florida International,14,36,34.714285714285715,3,3,2,4,0.34978354978354975,0.45284840016015154,1.5751112191100105,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.2857142857142857,2.5714285714285716,11.0,0.9090909090909091,31.363636363636363,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.21060606060606057,-0.20141376938707925,0.9237847341647858
401520147,Hawai'i,Vanderbilt,9,14,31.333333333333332,1,0,2,4,0.3012345679012346,-0.13852918887531276,1.16426416594025,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444,1.5555555555555556,13.0,3.6923076923076925,39.0,0.5384615384615384,0.0,0.0,0.23076923076923078,0.29225774225774226,0.13703963992441276,1.3319967254567169
401520147,Vanderbilt,Hawai'i,13,48,39.0,7,0,0,3,0.29225774225774226,0.13703963992441276,1.3319967254567169,0.5384615384615384,0.0,0.0,0.23076923076923078,3.6923076923076925,9.0,1.5555555555555556,31.333333333333332,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444,0.3012345679012346,-0.13852918887531276,1.16426416594025
401520148,Minnesota,Nebraska,10,20,29.9,2,2,3,1,0.29673382173382173,0.04593706684535008,1.4520917644447873,0.2,0.2,0.3,0.1,2.0,9.0,0.3333333333333333,29.444444444444443,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.21085858585858586,-0.2590399189520226,0.9373879627170951
401520148,Nebraska,Minnesota,9,3,29.444444444444443,0,1,2,6,0.21085858585858586,-0.2590399189520226,0.9373879627170951,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333,10.0,2.0,29.9,0.2,0.2,0.3,0.1,0.29673382173382173,0.04593706684535008,1.4520917644447873
401520149,Alabama,Middle Tennessee,20,42,36.35,6,0,1,11,0.32583513708513706,0.3358606470932486,1.1044184741270417,0.3,0.0,0.05,0.55,2.1,5.0,4.2,30.0,0.6,0.0,0.4,0.0,0.4464202464202464,0.42334442373777204,1.8059833657989195
401520149,Middle Tennessee,Alabama,5,21,30.0,3,0,2,0,0.4464202464202464,0.42334442373777204,1.8059833657989195,0.6,0.0,0.4,0.0,4.2,20.0,2.1,36.35,0.3,0.0,0.05,0.55,0.32583513708513706,0.3358606470932486,1.1044184741270417
401520150,Arkansas,Western Carolina,17,55,36.411764705882355,7,2,2,6,0.3914417282064341,0.4045662151517333,1.2353727345061374,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.35294117647058826,3.235294117647059,8.0,1.75,27.125,0.25,0.0,0.375,0.375,0.4138528138528138,0.2324358781413283,0.9409184362439561
401520150,Western Carolina,Arkansas,8,14,27.125,2,0,3,3,0.4138528138528138,0.2324358781413283,0.9409184362439561,0.25,0.0,0.375,0.375,1.75,17.0,3.235294117647059,36.411764705882355,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.3914417282064341,0.4045662151517333,1.2353727345061374
401520151,Auburn,Massachusetts,19,49,40.31578947368421,7,0,1,7,0.41918052707526393,0.20877310389725726,1.1055528673517245,0.3684210526315789,0.0,0.05263157894736842,0.3684210526315789,2.5789473684210527,6.0,4.0,37.333333333333336,0.5,0.16666666666666666,0.0,0.0,0.4791666666666667,0.8518168622832848,1.7057625631354156
401520151,Massachusetts,Auburn,6,24,37.333333333333336,3,1,0,0,0.4791666666666667,0.8518168622832848,1.7057625631354156,0.5,0.16666666666666666,0.0,0.0,4.0,19.0,2.5789473684210527,40.31578947368421,0.3684210526315789,0.0,0.05263157894736842,0.3684210526315789,0.41918052707526393,0.20877310389725726,1.1055528673517245
401520152,BYU,Sam Houston,16,14,30.75,2,0,0,12,0.2126736111111111,-0.17675305140863967,0.6907990363487566,0.125,0.0,0.0,0.75,0.875,12.0,0.5833333333333334,27.666666666666668,0.0,0.0,0.25,0.5833333333333334,0.21448412698412697,-0.2485083102149246,0.8916335784692659
401520152,Sam Houston,BYU,12,7,27.666666666666668,0,0,3,7,0.21448412698412697,-0.2485083102149246,0.8916335784692659,0.0,0.0,0.25,0.5833333333333334,0.5833333333333334,16.0,0.875,30.75,0.125,0.0,0.0,0.75,0.2126736111111111,-0.17675305140863967,0.6907990363487566
401520153,Florida International,Maine,9,7,29.333333333333332,1,0,1,4,0.24059829059829063,-0.1651512890767286,1.1168067372480124,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.7777777777777778,14.0,1.1428571428571428,34.285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2945720945720946,-0.047120633759844134,1.0844078424955417
401520153,Maine,Florida International,14,16,34.285714285714285,1,2,3,4,0.2945720945720946,-0.047120633759844134,1.0844078424955417,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.2857142857142857,1.1428571428571428,9.0,0.7777777777777778,29.333333333333332,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.24059829059829063,-0.1651512890767286,1.1168067372480124
401520154,Georgia,UT Martin,19,52,27.0,7,1,0,9,0.3240487582592846,-0.17948098383332345,0.9667639176637914,0.3684210526315789,0.05263157894736842,0.0,0.47368421052631576,2.736842105263158,7.0,0.42857142857142855,26.285714285714285,0.0,0.14285714285714285,0.0,0.7142857142857143,0.22685647685647686,-0.07767137146939673,0.7705201069495915
401520154,UT Martin,Georgia,7,3,26.285714285714285,0,1,0,5,0.22685647685647686,-0.07767137146939673,0.7705201069495915,0.0,0.14285714285714285,0.0,0.7142857142857143,0.42857142857142855,19.0,2.736842105263158,27.0,0.3684210526315789,0.05263157894736842,0.0,0.47368421052631576,0.3240487582592846,-0.17948098383332345,0.9667639176637914
401520155,Illinois,Toledo,8,19,32.75,2,2,1,3,0.2649621212121212,0.05925864446095684,1.0398649136857245,0.25,0.25,0.125,0.375,2.375,12.0,3.1666666666666665,31.416666666666668,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.25,0.3686165986862581,0.05679044839618425,1.1488445919783452
