game_id,season,week,start_date,home_team,away_team,home_points,away_points,matchup_class,home_drive_games_pre,home_drive_off_drives_pre,home_drive_def_drives_pre,home_drive_off_ppd_pre,home_drive_def_ppd_pre,home_drive_off_td_rate_pre,home_drive_def_td_rate_pre,home_drive_off_fg_rate_pre,home_drive_def_fg_rate_pre,home_drive_off_to_rate_pre,home_drive_def_to_rate_pre,home_drive_off_punt_rate_pre,home_drive_def_punt_rate_pre,home_drive_off_start_pre,home_drive_def_start_pre,home_drive_off_success_pre,home_drive_def_success_pre,home_drive_off_explosive_pre,home_drive_def_explosive_pre,home_drive_off_ppa_pre,home_drive_def_ppa_pre,home_drive_schedule_def_pre,home_drive_schedule_off_pre,home_drive_off_rating_pre,home_drive_def_rating_pre,home_drive_state_maturity,away_drive_games_pre,away_drive_off_drives_pre,away_drive_def_drives_pre,away_drive_off_ppd_pre,away_drive_def_ppd_pre,away_drive_off_td_rate_pre,away_drive_def_td_rate_pre,away_drive_off_fg_rate_pre,away_drive_def_fg_rate_pre,away_drive_off_to_rate_pre,away_drive_def_to_rate_pre,away_drive_off_punt_rate_pre,away_drive_def_punt_rate_pre,away_drive_off_start_pre,away_drive_def_start_pre,away_drive_off_success_pre,away_drive_def_success_pre,away_drive_off_explosive_pre,away_drive_def_explosive_pre,away_drive_off_ppa_pre,away_drive_def_ppa_pre,away_drive_schedule_def_pre,away_drive_schedule_off_pre,away_drive_off_rating_pre,away_drive_def_rating_pre,away_drive_state_maturity,v3_expected_home_drives,v3_expected_away_drives,v3_home_base_ppd,v3_home_start_field,v3_home_success,v3_home_explosive,v3_home_turnover_rate,v3_home_matchup_ratio,v3_away_base_ppd,v3_away_start_field,v3_away_success,v3_away_explosive,v3_away_turnover_rate,v3_away_matchup_ratio,actual_home_margin,actual_total
401520174,2023,1,2023-08-31 23:30:00+00:00,UConn,NC State,14.0,24.0,FBS_vs_FBS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,-10.0,38.0
401520148,2023,1,2023-09-01 00:00:00+00:00,Minnesota,Nebraska,13.0,10.0,FBS_vs_FBS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,3.0,23.0
401520165,2023,1,2023-09-01 00:00:00+00:00,Missouri,South Dakota,35.0,10.0,FBS_vs_FCS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,25.0,45.0
401520176,2023,1,2023-09-01 00:00:00+00:00,Utah,Florida,24.0,11.0,FBS_vs_FBS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,13.0,35.0
401531337,2023,1,2023-09-01 00:00:00+00:00,Tulsa,Arkansas-Pine Bluff,42.0,7.0,FBS_vs_FCS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,35.0,49.0
401531377,2023,1,2023-09-01 00:00:00+00:00,UAB,North Carolina A&T,35.0,6.0,FBS_vs_FCS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,29.0,41.0
401523987,2023,1,2023-09-01 02:00:00+00:00,Arizona State,Southern Utah,24.0,21.0,FBS_vs_FCS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,3.0,45.0
401532394,2023,1,2023-09-01 22:30:00+00:00,Eastern Michigan,Howard,33.0,23.0,FBS_vs_FCS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,10.0,56.0
401520163,2023,1,2023-09-01 23:00:00+00:00,Michigan State,Central Michigan,31.0,7.0,FBS_vs_FBS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,24.0,38.0
401525463,2023,1,2023-09-01 23:00:00+00:00,Miami,Miami (OH),38.0,3.0,FBS_vs_FBS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,35.0,41.0
401525462,2023,1,2023-09-01 23:30:00+00:00,Georgia Tech,Louisville,34.0,39.0,FBS_vs_FBS,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,11.5,11.5,2.25,2.25,0.3,0.3,0.12,0.12,0.12,0.12,0.36,0.36,27.5,27.5,0.42,0.42,0.9,0.9,0.0,0.0,100.0,100.0,100.0,100.0,0.0,11.499999999999998,11.499999999999998,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,2.25,27.5,0.42000000000000004,0.9000000000000001,0.12,1.0,-5.0,73.0
