team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,conference,classification,logo_url,color,current_week
Wyoming,2026,2,Week 2,1381.0765841979517,1423.4224869117954,-42.34590271384377,128,113,-15,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2751.png,#492f24,2
Kent State,2026,2,Week 2,1378.4805122428695,1411.07295339726,-32.5924411543906,129,121,-8,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2309.png,#002664,2
Ball State,2026,2,Week 2,1377.8240149624394,1387.3654929875554,-9.541478025116021,130,129,-1,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2050.png,#ba0c2f,2
Sam Houston,2026,2,Week 2,1368.4562593564751,1377.167221630305,-8.710962273829864,131,131,0,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/2534.png,#f56423,2
Georgia State,2026,2,Week 2,1361.3607786708822,1342.3203024386726,19.040476232209585,132,136,4,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2247.png,#0039a6,2
UTEP,2026,2,Week 2,1354.7115045358778,1369.3742868042764,-14.662782268398587,133,132,-1,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2638.png,#ff8200,2
Oregon State,2026,2,Week 2,1354.234153286215,1367.6609538461498,-13.426800559934918,134,133,-1,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/204.png,#dc4405,2
Massachusetts,2026,2,Week 2,1338.9024738272756,1275.8009404863235,63.101533340952074,135,138,3,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/113.png,#881c1c,2
UL Monroe,2026,2,Week 2,1327.4914765013743,1358.2424539622318,-30.750977460857484,136,134,-2,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2433.png,#840029,2
Charlotte,2026,2,Week 2,1327.457455958824,1336.2459533563492,-8.788497397525134,137,137,0,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2429.png,#005035,2
Oklahoma State,2026,2,Week 2,1323.2213613317597,1349.4889716176451,-26.26761028588544,138,135,-3,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/197.png,#fe5c00,2
