game_id,season,week,start_date,home_team,away_team,home_points,away_points,drive_containers,offense_team_count,defense_team_count,pbp_offense_teams,pbp_defense_teams,min_period,max_period,min_team_drives,max_team_drives,one_play_drives,one_play_share,other_drives,other_share,fragmented,incomplete,extreme_possessions,bad_offense_count,bad_defense_count,offense_team_mismatch,defense_team_mismatch,bad_team_structure,quarantine,quarantine_reason
401756965,2025,14,2025-11-29 17:00:00+00:00,Kansas State,Colorado,24.0,14.0,19,2,2,Colorado | Kansas State,Colorado | Kansas State,1,4,9,10,1,0.0526315789473684,2,0.1052631578947368,False,False,False,False,False,False,False,False,False,HEALTHY
401756966,2025,14,2025-11-29 17:00:00+00:00,Oklahoma State,Iowa State,13.0,20.0,22,2,2,Iowa State | Oklahoma State,Iowa State | Oklahoma State,1,4,10,12,0,0.0,7,0.3181818181818182,False,False,False,False,False,False,False,False,False,HEALTHY
401756967,2025,14,2025-11-29 20:30:00+00:00,TCU,Cincinnati,45.0,23.0,21,2,2,Cincinnati | TCU,Cincinnati | TCU,1,4,10,11,0,0.0,4,0.1904761904761904,False,False,False,False,False,False,False,False,False,HEALTHY
401756968,2025,14,2025-11-29 17:00:00+00:00,West Virginia,Texas Tech,0.0,49.0,25,2,2,Texas Tech | West Virginia,Texas Tech | West Virginia,1,4,12,13,0,0.0,5,0.2,False,False,False,False,False,False,False,False,False,HEALTHY
401757165,2025,6,2025-10-04 19:30:00+00:00,Notre Dame,Boise State,28.0,7.0,21,2,2,Boise State | Notre Dame,Boise State | Notre Dame,1,4,10,11,1,0.0476190476190476,3,0.1428571428571428,False,False,False,False,False,False,False,False,False,HEALTHY
401757166,2025,11,2025-11-09 00:30:00+00:00,Notre Dame,Navy,49.0,10.0,19,2,2,Navy | Notre Dame,Navy | Notre Dame,1,4,9,10,2,0.1052631578947368,2,0.1052631578947368,False,False,False,False,False,False,False,False,False,HEALTHY
401757167,2025,1,2025-08-30 18:00:00+00:00,UConn,Central Connecticut,59.0,13.0,26,2,2,Central Connecticut | UConn,Central Connecticut | UConn,1,4,13,13,3,0.1153846153846153,2,0.0769230769230769,False,False,False,False,False,False,False,False,False,HEALTHY
401757168,2025,3,2025-09-13 19:00:00+00:00,Delaware,UConn,44.0,41.0,24,2,2,Delaware | UConn,Delaware | UConn,1,5,12,12,2,0.0833333333333333,1,0.0416666666666666,False,False,False,False,False,False,False,False,False,HEALTHY
401757169,2025,4,2025-09-20 19:30:00+00:00,UConn,Ball State,31.0,25.0,20,2,2,Ball State | UConn,Ball State | UConn,1,4,10,10,0,0.0,0,0.0,False,False,False,False,False,False,False,False,False,HEALTHY
401757170,2025,5,2025-09-27 19:30:00+00:00,Buffalo,UConn,17.0,20.0,24,2,2,Buffalo | UConn,Buffalo | UConn,1,4,12,12,2,0.0833333333333333,4,0.1666666666666666,False,False,False,False,False,False,False,False,False,HEALTHY
