game_id,season,week,elo_difference,rating_difference,state_maturity,side,team,opponent,actual_points,actual_40_plus,actual_10_or_less,expected_points,prob_40_plus,prob_10_or_less,expected_drives,ppd,td_rate,fg_rate,turnover_rate,success_rate,ppa,explosive_rate,yards_per_drive,matchup_ratio
401282180,2021,1,75.0,0.0,0.0,away,UT Martin,Western Kentucky,21.0,0.0,0.0,27.799,0.152,0.064,11.49,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282789,2021,1,75.0,0.0,0.0,home,Minnesota,Ohio State,31.0,0.0,0.0,28.113,0.165,0.052,11.474,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282789,2021,1,75.0,0.0,0.0,away,Ohio State,Minnesota,45.0,1.0,0.0,28.137,0.168,0.052,11.504,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310696,2021,1,75.0,0.0,0.0,home,New Mexico,Houston Christian,27.0,0.0,0.0,28.48,0.16,0.049,11.555,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310696,2021,1,75.0,0.0,0.0,away,Houston Christian,New Mexico,17.0,0.0,0.0,27.729,0.147,0.066,11.468,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282051,2021,1,75.0,0.0,0.0,home,Florida International,Long Island University,48.0,1.0,0.0,28.115,0.153,0.064,11.542,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282051,2021,1,75.0,0.0,0.0,away,Long Island University,Florida International,10.0,0.0,1.0,27.822,0.155,0.063,11.538,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310694,2021,1,75.0,0.0,0.0,home,UNLV,Eastern Washington,33.0,0.0,0.0,28.282,0.184,0.058,11.478,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310694,2021,1,75.0,0.0,0.0,away,Eastern Washington,UNLV,35.0,0.0,0.0,28.684,0.176,0.063,11.53,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309835,2021,1,94.10303394266748,23.23289541505449,0.0,home,Arizona State,Southern Utah,41.0,1.0,0.0,35.131,0.327,0.014,11.316,2.8057732073770167,0.3831507627220701,0.100399203184089,0.1121869794033326,0.4486230094637936,0.2067780794674306,0.1247877152024692,39.87114878284338,1.1490404365969296
401309835,2021,1,94.10303394266748,23.23289541505449,0.0,away,Southern Utah,Arizona State,14.0,0.0,0.0,22.708,0.068,0.148,11.267,1.898447006996467,0.2528151925634876,0.100399203184089,0.1208231580328197,0.3944565529583831,-0.0410098769847815,0.0819176080657292,31.282827753136075,0.8973796547460552
401309937,2021,1,75.0,0.0,0.0,home,Virginia Tech,North Carolina,17.0,0.0,0.0,28.407,0.148,0.049,11.452,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309937,2021,1,75.0,0.0,0.0,away,North Carolina,Virginia Tech,10.0,0.0,1.0,27.954,0.15,0.061,11.532,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282052,2021,1,75.0,0.0,0.0,home,Charlotte,Duke,31.0,0.0,0.0,28.934,0.172,0.061,11.526,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282052,2021,1,75.0,0.0,0.0,away,Duke,Charlotte,28.0,0.0,0.0,28.048,0.154,0.048,11.464,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282608,2021,1,75.0,0.0,0.0,home,Wake Forest,Old Dominion,42.0,1.0,0.0,27.619,0.154,0.073,11.523,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282608,2021,1,75.0,0.0,0.0,away,Old Dominion,Wake Forest,10.0,0.0,1.0,27.991,0.14,0.073,11.476,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309541,2021,1,75.0,0.0,0.0,home,Eastern Michigan,Saint Francis,35.0,0.0,0.0,28.865,0.191,0.059,11.518,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309541,2021,1,75.0,0.0,0.0,away,Saint Francis,Eastern Michigan,15.0,0.0,0.0,28.959,0.168,0.044,11.548,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287888,2021,1,75.0,0.0,0.0,home,Kansas,South Dakota,17.0,0.0,0.0,28.459,0.167,0.054,11.425,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287888,2021,1,75.0,0.0,0.0,away,South Dakota,Kansas,14.0,0.0,0.0,27.96,0.139,0.055,11.534,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282782,2021,1,75.0,0.0,0.0,home,Northwestern,Michigan State,21.0,0.0,0.0,27.771,0.143,0.06,11.511,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282782,2021,1,75.0,0.0,0.0,away,Michigan State,Northwestern,38.0,0.0,0.0,28.478,0.176,0.065,11.553,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309836,2021,1,75.0,0.0,0.0,home,Colorado,Northern Colorado,35.0,0.0,0.0,28.23,0.161,0.053,11.459,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309836,2021,1,75.0,0.0,0.0,away,Northern Colorado,Colorado,7.0,0.0,1.0,28.103,0.155,0.064,11.525,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310695,2021,1,75.0,0.0,0.0,home,Colorado State,South Dakota State,23.0,0.0,0.0,28.164,0.156,0.062,11.503,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310695,2021,1,75.0,0.0,0.0,away,South Dakota State,Colorado State,42.0,1.0,0.0,27.939,0.152,0.066,11.438,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281947,2021,1,75.0,0.0,0.0,home,Kentucky,UL Monroe,45.0,1.0,0.0,27.886,0.148,0.071,11.464,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281947,2021,1,75.0,0.0,0.0,away,UL Monroe,Kentucky,10.0,0.0,1.0,27.96,0.154,0.06,11.407,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282609,2021,1,75.0,0.0,0.0,home,Boston College,Colgate,51.0,1.0,0.0,27.429,0.144,0.065,11.49,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282609,2021,1,75.0,0.0,0.0,away,Colgate,Boston College,0.0,0.0,1.0,28.117,0.166,0.058,11.528,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282772,2021,1,75.0,0.0,0.0,home,Michigan,Western Michigan,47.0,1.0,0.0,27.887,0.159,0.071,11.536,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282772,2021,1,75.0,0.0,0.0,away,Western Michigan,Michigan,14.0,0.0,0.0,28.104,0.151,0.054,11.46,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282815,2021,1,75.0,0.0,0.0,home,Wisconsin,Penn State,10.0,0.0,1.0,27.67,0.147,0.062,11.472,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282815,2021,1,75.0,0.0,0.0,away,Penn State,Wisconsin,16.0,0.0,0.0,28.073,0.157,0.068,11.492,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
